Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,ILF,EPP,FEZ
2017/12/11,113.4700012,56.61130142,118.0100021,151.9520721,249.6886292,105.2521591,17.82625198,92.80000305,29.71631622,41.2962532,37.81229019
2017/12/12,113.2300034,56.71542358,118.1500015,151.7474213,250.1292725,105.2235184,17.71910286,91.51999664,30.16201782,41.43577194,37.7480011
2017/12/13,113.9800034,56.94263077,119.1699982,152.0398254,250.101181,105.233078,17.77754784,90.63999939,29.7890892,41.97638702,37.7296257
2017/12/14,113.5999985,56.67755127,118.9300003,151.9326019,249.0792084,105.2426224,17.7678051,91.44000244,29.5071106,41.6799202,37.37143707
2017/12/15,113.2799988,56.70596313,119.1800003,153.6577606,251.1533966,105.2521591,17.85547638,91.68000031,29.70722198,41.70608521,37.49580383
2017/12/18,113.5500031,57.3875618,119.7300034,154.9460297,252.7460327,105.233078,17.87495995,91.51999664,30.56223679,42.03742599,38.00250626
2017/12/19,114.1100006,56.80531693,119.8199997,154.0279541,251.7753754,105.2426224,17.8944416,92.08000183,30.35302925,41.84773636,37.94723511
2017/12/20,114.4800034,56.88154984,120.1399994,153.861908,251.6434479,105.2521591,17.97237206,92.87999725,30.47127724,41.90142441,37.71691132
2017/12/21,114.4300003,56.91966629,120.3099976,153.8814392,252.1617584,105.2636185,17.99185181,93.12000275,30.71524048,42.17879868,37.8090477
2017/12/22,114.2399979,57.18649292,120.9400024,153.7056427,252.0958099,105.2636185,17.93340492,93.27999878,30.67855453,42.32196045,37.72613144
2017/12/26,114.3099976,57.21508026,121.7699966,152.8754425,251.79422,105.2731781,18.08926392,95.59999847,30.83446884,42.36670303,37.76297379
2017/12/27,114.5899963,57.13884735,122.2300034,152.8949585,251.9167328,105.2636185,18.18667412,95.36000061,30.88949585,42.5367012,37.71691132
2017/12/28,115.0699997,57.00543594,122.8499985,153.0805206,252.4350433,105.3018341,18.23538017,95.76000214,31.1749897,42.73354721,37.64321136
2017/12/29,115.6100006,57.11026001,123.6500015,152.1331482,251.4832458,105.3018341,18.2743454,96.08000183,31.36776543,42.7693367,37.50502014
2018/1/2,116.1999969,57.45331955,125.1500015,154.7995758,253.2831421,105.2922745,18.47890854,96.55999756,32.32247925,43.18092346,37.67084885
2018/1/3,115.7099991,58.24426651,124.8199997,156.3036804,254.8851624,105.2922745,18.4691658,98.72000122,32.67131805,43.4404068,37.81825256
2018/1/4,116.2900009,58.95897293,125.4599991,156.5771942,255.9594879,105.3113708,18.43994331,98.95999908,32.78147507,43.59251404,38.49078369
2018/1/5,115.9700012,59.12098312,125.3300018,158.1496735,257.6652832,105.3113708,18.34253311,98.48000336,33.13948822,43.85199356,38.87772369
2018/1/8,115.2699966,59.46404648,125.3099976,158.7650299,258.1364136,105.3113708,18.21589851,99.04000092,33.02933502,43.74462509,38.72110367
2018/1/9,114.9899979,59.50215912,124.7300034,158.7747803,258.7207031,105.3113708,18.25486374,100.5599976,32.79065704,43.79830933,38.74874496
2018/1/10,115.1999969,59.88334656,125.0299988,158.4036102,258.3248901,105.3018341,18.18667412,101.4400024,32.57951355,43.52988434,38.61054611
2018/1/11,115.9000015,60.28358078,125.4400024,159.4877777,260.2096252,105.3113708,18.11848831,101.5999985,33.13031387,43.78936005,38.85007858
2018/1/12,117.4000015,60.4741745,126.9599991,160.6598511,261.9059753,105.3209534,18.07952118,102.9599991,33.34144974,44.02199936,39.39363098
2018/1/16,118.1600037,60.4741745,127.1699982,160.2007904,261.0107117,105.3305054,18.06004143,102.0800018,33.42407227,43.79830933,39.49497223
2018/1/17,117.6500015,60.96017456,126.1399994,161.9295349,263.4985352,105.3400345,18.20615768,102.2399979,33.97486115,44.14725876,39.64237213
2018/1/18,117.8700027,60.44558334,125.8600006,161.9588928,263.0556946,105.3496017,18.19641685,102.0800018,34.16764069,43.99515152,39.69764709
2018/1/19,117.7099991,60.82676315,126.4199982,162.4667511,264.2524719,105.3496017,18.1477108,101.7600021,34.35123825,44.19200134,40.00166702
2018/1/22,118.0299988,61.08405685,126.6500015,164.2053375,266.401062,105.3591385,18.20615768,102.2399979,34.51647949,44.30831528,40.34254456
2018/1/23,118.4000015,61.45570374,127.2799988,165.5629425,266.9665527,105.3496017,18.13796997,103.7600021,34.02076721,44.44253159,40.44387817
2018/1/24,119.4199982,61.47476959,128.8300018,164.4885559,266.862793,105.3686905,18.31330872,105.7600021,35.60888672,44.68411636,40.50837326
2018/1/25,119.4599991,61.17934799,127.9700012,164.4299774,266.9759216,105.3782272,18.25486374,104.4800034,35.74658585,44.4693718,40.35175705
2018/1/26,119.5899963,61.62723923,128.0700073,166.9498749,270.066925,105.3878098,18.40098,105.9199982,36.26066208,45.01517868,40.7294693
2018/1/29,119.2200012,61.1031189,127.3499985,166.1392365,268.2763977,105.3878098,18.42046165,104.8799973,35.54463196,44.57674026,40.38859558
2018/1/30,119.3499985,60.32169724,126.8000031,164.7718201,265.5246887,105.3878098,18.44968605,103.1999969,35.37939072,44.24568939,40.04773331
2018/1/31,119.5800018,59.97863388,127.6500015,165.4555206,265.6566162,105.4355469,18.34253311,103.8399963,35.71905136,44.32621765,40.11222076
2018/2/1,120.4700012,60.27405548,128.0700073,164.049057,265.3549805,105.387764,18.50813293,105.9199982,36.0219841,44.41568375,40.13064957
2018/2/2,120,59.38780594,126.3899994,160.7770386,259.5782776,105.4068832,18.47890854,104.3199997,34.84695816,43.6104126,39.10803986
2018/2/5,119.2900009,56.57660675,126.7099991,154.4381561,248.7220154,105.4355545,18.35227394,102.1600037,33.54340744,42.21459198,37.4589653
2018/2/6,119.1100006,57.94885254,125.3799973,158.5305786,253.6224823,105.4068832,18.48864937,101.5999985,34.73679733,42.59933472,38.51841354
2018/2/7,118.0599976,57.43426514,124.7900009,156.4795074,252.2465668,105.4068832,18.4691658,98.95999908,33.82798767,41.7672081,37.77219009
2018/2/8,117.8899994,55.72847748,124.9800034,149.8768768,242.78508,105.4164581,18.37175751,96.72000122,32.78147507,40.79192734,36.65745163
2018/2/9,117.7900009,56.29072189,124.7699966,152.46521,246.4320679,105.4068832,18.33279037,94.87999725,33.30472946,41.05141068,36.76800537
2018/2/12,118.2900009,57.38661194,125.3700027,155.1706848,250.0508118,105.4068832,18.44968605,95.12000275,33.68110275,41.56141663,37.27470016
2018/2/13,118.9199982,56.681427,126.0800018,155.9716034,250.6728058,105.387764,18.44968605,94.95999908,33.7912674,41.90142441,37.16415024
2018/2/14,119.9599991,57.53908539,128.2299957,158.891983,254.0558929,105.387764,18.51787376,97.44000244,34.6817131,42.5367012,37.83667755
2018/2/15,120.3300018,57.81543732,128.3800049,161.8416595,257.297699,105.4068832,18.6250267,98.63999939,34.96629333,43.01987457,38.0854187
2018/2/16,119.4000015,58.70168304,127.9599991,161.118927,257.3730774,105.4259872,18.47890854,99.04000092,34.95711899,42.75144196,38.15912628
2018/2/20,118.7300034,58.22520828,126.2399979,161.4412079,255.7615814,105.4164581,18.48864937,99.12000275,35.0948143,42.62617493,37.81825256
